frame,id,x,y,w,h,class_id,score,unique_ids_seen
166,1,301,575,187,92,2,0.627863,6
166,2,974,904,167,186,2,0.798553,6
166,5,1801,664,55,116,0,0.505189,6
167,1,301,575,187,92,2,0.627863,6
167,2,975,918,169,187,2,0.798553,6
167,5,1801,664,55,116,0,0.505189,6
168,1,301,574,189,94,2,0.644941,6
168,2,973,927,184,166,2,0.814127,6
168,5,1801,665,55,116,0,0.505189,6
169,1,301,573,189,94,2,0.644941,6
169,2,975,938,187,163,2,0.814127,6
169,5,1801,665,55,116,0,0.505189,6
170,1,302,572,189,95,2,0.663392,6
170,2,975,958,195,127,2,0.807646,6
170,5,1801,665,55,116,0,0.505189,6
171,1,302,572,189,95,2,0.663392,6
171,2,977,968,198,120,2,0.807646,6
171,5,1801,665,55,116,0,0.505189,6
172,1,302,572,190,95,2,0.662243,6
172,2,985,995,178,85,2,0.710093,6
172,5,1801,665,55,116,0,0.505189,6
173,1,302,572,190,95,2,0.662243,6
173,2,988,1004,176,77,2,0.710093,6
173,5,1801,665,55,116,0,0.505189,6
174,1,303,572,190,94,2,0.697365,6
174,2,991,1012,175,71,2,0.710093,6
174,5,1801,665,55,116,0,0.505189,6
175,1,303,572,190,94,2,0.697365,6
175,2,993,1018,175,66,2,0.710093,6
175,5,1801,666,55,116,0,0.505189,6
176,1,304,571,189,95,2,0.738003,6
176,2,996,1023,174,61,2,0.710093,6
176,5,1801,666,55,116,0,0.505189,6
177,1,305,570,189,95,2,0.738003,6
177,2,998,1027,173,58,2,0.710093,6
177,5,1801,666,55,116,0,0.505189,6
178,1,304,570,188,96,2,0.739872,6
178,2,1000,1030,173,55,2,0.710093,6
178,5,1801,666,55,116,0,0.505189,6
179,1,305,570,187,96,2,0.739872,6
179,2,1003,1033,173,53,2,0.710093,6
179,5,1801,666,55,116,0,0.505189,6
180,1,304,570,187,96,2,0.748997,6
180,2,1005,1036,172,52,2,0.710093,6
180,5,1801,666,55,116,0,0.505189,6
181,1,305,570,187,96,2,0.748997,6
181,2,1007,1038,172,50,2,0.710093,6
181,5,1809,660,54,120,0,0.408231,6
182,1,304,570,188,96,2,0.735824,6
182,2,1009,1040,172,49,2,0.710093,6
182,5,1809,660,54,120,0,0.408231,6
183,1,304,570,188,96,2,0.735824,6
183,2,1012,1042,172,48,2,0.710093,6
183,5,1810,660,54,120,0,0.408231,6
184,1,304,571,189,95,2,0.745794,6
184,2,1014,1043,172,48,2,0.710093,6
184,5,1810,660,54,120,0,0.408231,6
185,1,304,571,189,95,2,0.745794,6
185,2,1016,1045,172,47,2,0.710093,6
185,5,1810,660,54,120,0,0.408231,6
186,1,304,572,189,94,2,0.739028,6
186,2,1018,1046,171,47,2,0.710093,6
186,5,1811,660,54,120,0,0.408231,6
187,1,304,572,189,94,2,0.739028,6
187,2,1020,1047,171,46,2,0.710093,6
187,5,1811,660,54,120,0,0.408231,6
188,1,305,573,189,93,2,0.730697,6
188,2,1022,1048,171,46,2,0.710093,6
188,5,1811,660,54,120,0,0.408231,6
189,1,305,574,189,92,2,0.730697,6
189,2,1025,1049,171,46,2,0.710093,6
189,5,1812,660,54,120,0,0.408231,6
190,1,305,576,188,90,2,0.722156,6
190,2,1027,1050,171,46,2,0.710093,6
191,1,305,576,188,90,2,0.722156,6
191,2,1029,1051,171,45,2,0.710093,6
192,1,305,577,188,89,2,0.702217,6
192,2,1031,1052,171,45,2,0.710093,6
193,1,306,578,188,89,2,0.702217,6
193,2,1033,1053,171,45,2,0.710093,6
194,1,306,577,188,90,2,0.69693,6
194,2,1035,1054,171,45,2,0.710093,6
195,1,306,577,188,90,2,0.69693,6
195,2,1037,1055,171,45,2,0.710093,6
196,1,307,574,187,92,2,0.713852,6
196,2,1040,1056,171,45,2,0.710093,6
197,1,308,574,187,93,2,0.713852,6
197,2,1042,1057,171,45,2,0.710093,6
198,1,309,572,186,94,2,0.714185,6
198,2,1044,1058,171,45,2,0.710093,6
199,1,310,572,186,95,2,0.714185,6
199,2,1046,1058,171,45,2,0.710093,6
200,1,310,571,186,95,2,0.714326,6
200,2,1048,1059,171,45,2,0.710093,6
201,1,310,571,185,96,2,0.714326,6
201,2,1050,1060,171,45,2,0.710093,6
202,1,310,572,186,95,2,0.708599,6
202,2,1052,1061,171,45,2,0.710093,6
203,1,310,572,186,95,2,0.708599,6
203,2,1055,1062,171,45,2,0.710093,6
204,1,309,574,186,94,2,0.694888,6
204,2,1057,1063,171,45,2,0.710093,6
205,1,309,574,186,94,2,0.694888,6
205,2,1059,1063,171,45,2,0.710093,6
206,1,308,588,186,81,2,0.682392,6
206,2,1061,1064,171,45,2,0.710093,6
207,1,308,590,187,79,2,0.682392,6
207,2,1063,1065,171,45,2,0.710093,6
208,1,308,592,186,78,2,0.708242,6
208,2,1065,1066,171,45,2,0.710093,6
209,1,307,593,186,77,2,0.708242,6
209,2,1067,1067,171,45,2,0.710093,6
210,1,308,589,185,81,2,0.72112,6
210,2,1069,1068,171,45,2,0.710093,6
211,1,308,589,185,81,2,0.72112,6
211,2,1072,1069,171,45,2,0.710093,6
212,1,310,580,185,90,2,0.678535,6
213,1,311,579,185,91,2,0.678535,6
214,1,311,575,186,95,2,0.70478,6
215,1,312,574,186,96,2,0.70478,6
216,1,312,578,185,94,2,0.675389,6
217,1,312,578,185,94,2,0.675389,6
218,1,312,582,186,90,2,0.683997,6
